"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"2288";"41016017003P9";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2012;"ACADÊMICO";"3";0,820512820512821;0,6875;0,5375;0,506410256410256;0,637980769230769
"2289";"41016017004P5";"EDUCAÇÃO";"PARTICULAR";"PRIVADA";2012;"ACADÊMICO";"3";0,472222222222222;0,421052631578947;0,819444444444444;0,480555555555556;0,548318713450292
"2290";"41016017005P1";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2014;"PROFISSIONAL";"3";0,717948717948718;0,680851063829787;0,641666666666667;0,419230769230769;0,614924304418985
"2291";"41016017006P8";"DIREITO";"PARTICULAR";"PRIVADA";2015;"ACADÊMICO";"3";0,272727272727273;0,361111111111111;0,838383838383838;0,281818181818182;0,438510101010101
"2292";"41016017007P4";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"PARTICULAR";"PRIVADA";2015;"ACADÊMICO";"3";0,523809523809524;0,760869565217391;0,672619047619048;0,459615384615385;0,604228380315337
"2293";"41017013002P9";"ENGENHARIAS III";"MUNICIPAL";"PÚBLICA";2008;"PROFISSIONAL";"3";0,888888888888889;0,571428571428571;0,642857142857143;1;0,775793650793651
"2294";"41019016001P5";"EDUCAÇÃO";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"3";0,766666666666667;0,517857142857143;0,657894736842105;0,426515151515152;0,592233424470267
"2295";"41019016002P1";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2013;"ACADÊMICO";"3";0,897435897435897;0,517241379310345;0,574466056445461;0,548809523809524;0,634488214250307
"2296";"41020014001P0";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,307692307692308;0,555555555555556;0,583333333333333;0,407051282051282;0,46340811965812
"2297";"41020014002P6";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,666666666666667;0,483333333333333;0,6;0,3875;0,534375
"2298";"41020014003P2";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";0,705882352941177;0,681818181818182;0,630606060606061;0,48030303030303;0,624652406417112
"2299";"41020014004P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";0,75;0,697674418604651;0,507939218492497;0,435294117647059;0,597726938686052
"2300";"41020014005P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,56140350877193;0,60377358490566;0,9;0,417916666666667;0,620773440086064
"2301";"41020014007P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,875;0,666666666666667;0,736111111111111;0,518137254901961;0,698978758169935
"2302";"41020014008P4";"HISTÓRIA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,511111111111111;0,644444444444444;0,988095238095238;0,561764705882353;0,676353874883287
"2303";"41020014009P0";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,846153846153846;0,794871794871795;0,578947368421053;0,485416666666667;0,67634741902834
"2304";"42001013001P5";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"6";0,327044025157233;0,285714285714286;0,465590777654731;0,357661290322581;0,359002594712208
"2305";"42001013002P1";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";1964;"ACADÊMICO";"7";0,151515151515152;0,17741935483871;0,908333333333333;0,487619047619048;0,431221721826561
"2306";"42001013003P8";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"4";0,0933333333333333;0,157894736842105;0,7;0,536858974358974;0,372021761133603
