CD_PROGRAMA_IES;NM_REGIAO;SG_UF_PROGRAMA;SG_ENTIDADE_ENSINO;NM_MUNICIPIO_PROGRAMA_IES;NM_AREA_CONHECIMENTO
15001016055P1;NORTE;PA;UFPA;BELÉM;ARTES
15001016057P4;NORTE;PA;UFPA;BELÉM;MEDICINA VETERINÁRIA
15001016059P7;NORTE;PA;UFPA;BELÉM;INTERDISCIPLINAR
15001016060P5;NORTE;PA;UFPA;BELÉM;ANTROPOLOGIA
15001016061P1;NORTE;PA;UFPA;BELÉM;MATEMÁTICA
15001016062P8;NORTE;PA;UFPA;BELÉM;COMUNICAÇÃO
15001016063P4;NORTE;PA;UFPA;BELÉM;ARQUITETURA E URBANISMO
15001016064P0;NORTE;PA;UFPA;BELÉM;MEDICINA
15001016065P7;NORTE;PA;UFPA;BELÉM;INTERDISCIPLINAR
15001016066P3;NORTE;PA;UFPA;BELÉM;ENFERMAGEM
15001016067P0;NORTE;PA;UFPA;BRAGANÇA;LETRAS
15001016068P6;NORTE;PA;UFPA;BELÉM;BIOTECNOLOGIA
15001016069P2;NORTE;PA;UFPA;BELÉM;ENGENHARIA CIVIL
15001016070P0;NORTE;PA;UFPA;BELÉM;FILOSOFIA
15001016071P7;NORTE;PA;UFPA;BELÉM;MEDICINA
15001016072P3;NORTE;PA;UFPA;BELÉM;ENGENHARIA MECÂNICA
15001016073P0;NORTE;PA;UFPA;BELÉM;ADMINISTRAÇÃO
15001016075P2;NORTE;PA;UFPA;BELÉM;ENGENHARIA MECÂNICA
15001016076P9;NORTE;PA;UFPA;BELÉM;CIÊNCIAS AMBIENTAIS
15001016077P5;NORTE;PA;UFPA;BELÉM;BIOLOGIA GERAL
15001016078P1;NORTE;PA;UFPA;BELÉM;ENSINO
15001016079P8;NORTE;PA;UFPA;BELÉM;SAÚDE COLETIVA
15001016080P6;NORTE;PA;UFPA;BELÉM;GEOCIÊNCIAS
15001016081P2;NORTE;PA;UFPA;ALTAMIRA;ECOLOGIA
15001016082P9;NORTE;PA;UFPA;CAMETÁ;EDUCAÇÃO
15001016084P1;NORTE;PA;UFPA;BELÉM;PSICOLOGIA
15001016085P8;NORTE;PA;UFPA;BELÉM;ENGENHARIA NAVAL E OCEÂNICA
15001016086P4;NORTE;PA;UFPA;BELÉM;FARMÁCIA
15001016087P0;NORTE;PA;UFPA;BELÉM;ECOLOGIA
15001016088P7;NORTE;PA;UFPA;BELÉM;CIÊNCIAS AMBIENTAIS
15001016089P3;NORTE;PA;UFPA;BELÉM;EDUCAÇÃO
15001016090P1;NORTE;PA;UFPA;BELÉM;ENGENHARIA CIVIL
15001016091P8;NORTE;PA;UFPA;TUCURUÍ;ENGENHARIA CIVIL
15001016092P4;NORTE;PA;UFPA;TUCURUÍ;CIÊNCIA DA COMPUTAÇÃO
15002012001P5;NORTE;PA;UFRA;BELÉM;AGRONOMIA
15002012004P4;NORTE;PA;UFRA;BELÉM;BOTÂNICA
15002012005P0;NORTE;PA;UFRA;BELÉM;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA
15002012006P7;NORTE;PA;UFRA;BELÉM;MEDICINA VETERINÁRIA
15002012007P3;NORTE;PA;UFRA;BELÉM;BIOTECNOLOGIA
15002012008P0;NORTE;PA;UFRA;BELÉM;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL
15004015004P7;NORTE;PA;UNAMA;BELÉM;PLANEJAMENTO URBANO E REGIONAL
15004015005P3;NORTE;PA;UNAMA;BELÉM;ADMINISTRAÇÃO
15004015006P0;NORTE;PA;UNAMA;BELÉM;INTERDISCIPLINAR
15004015007P6;NORTE;PA;UNAMA;BELÉM;DIREITO
15006018001P0;NORTE;PA;UEPA;BELÉM;EDUCAÇÃO
15006018002P7;NORTE;PA;UEPA;BELÉM;MICROBIOLOGIA
15006018003P3;NORTE;PA;UEPA;BELÉM;ENFERMAGEM
15006018004P0;NORTE;PA;UEPA;BELÉM;TEOLOGIA
15006018005P6;NORTE;PA;UEPA;BELÉM;INTERDISCIPLINAR
15006018006P2;NORTE;PA;UEPA;BELÉM;ENSINO
15006018007P9;NORTE;PA;UEPA;BELÉM;MEDICINA
15006018008P5;NORTE;PA;UEPA;BELÉM;ENSINO
15008010001P3;NORTE;PA;IFPA;CASTANHAL;INTERDISCIPLINAR
15008010002P0;NORTE;PA;IFPA;BELÉM;ENGENHARIA DE MATERIAIS E METALÚRGICA
15010015001P4;NORTE;PA;UFOPA;SANTARÉM;ECOLOGIA
15010015002P0;NORTE;PA;UFOPA;SANTARÉM;CIÊNCIAS AMBIENTAIS
15010015003P7;NORTE;PA;UFOPA;SANTARÉM;CIÊNCIAS AMBIENTAIS
15010015004P3;NORTE;PA;UFOPA;SANTARÉM;FISIOLOGIA
15010015005P0;NORTE;PA;UFOPA;SANTARÉM;EDUCAÇÃO
15010015070P6;NORTE;PA;UFOPA;SANTARÉM;INTERDISCIPLINAR
15010015071P2;NORTE;PA;UFOPA;SANTARÉM;INTERDISCIPLINAR
15012018001P7;NORTE;PA;IEC;ANANINDEUA;MICROBIOLOGIA
15012018002P3;NORTE;PA;IEC;ANANINDEUA;SAÚDE COLETIVA
15013014001P3;NORTE;PA;CESUPA;BELÉM;DIREITO
15013014002P0;NORTE;PA;CESUPA;BELÉM;ENSINO
15013014003P6;NORTE;PA;CESUPA;BELÉM;ODONTOLOGIA
15021017001P2;NORTE;PA;FSCMPA;BELÉM;INTERDISCIPLINAR
15024016001P1;NORTE;PA;ITV DS;BELÉM;CIÊNCIAS AMBIENTAIS
15025012001P8;NORTE;PA;UNIFESSPA;MARABÁ;INTERDISCIPLINAR
15027007039P2;NORTE;PA;MPEG;BELÉM;ECOLOGIA
16003012001P4;NORTE;TO;UFT;PALMAS;CIÊNCIAS AMBIENTAIS
16003012002P0;NORTE;TO;UFT;ARAGUAÍNA;ZOOTECNIA
16003012003P7;NORTE;TO;UFT;GURUPI;AGRONOMIA
16003012004P3;NORTE;TO;UFT;PALMAS;PLANEJAMENTO URBANO E REGIONAL
16003012005P0;NORTE;TO;UFT;PALMAS;ENGENHARIA AGRÍCOLA
16003012006P6;NORTE;TO;UFT;PORTO NACIONAL;ECOLOGIA
16003012007P2;NORTE;TO;UFT;PALMAS;INTERDISCIPLINAR
16003012008P9;NORTE;TO;UFT;ARAGUAÍNA;LETRAS
16003012009P5;NORTE;TO;UFT;PORTO NACIONAL;GEOGRAFIA
16003012010P3;NORTE;TO;UFT;PALMAS;ENGENHARIA SANITÁRIA
16003012011P0;NORTE;TO;UFT;GURUPI;BIOTECNOLOGIA
16003012012P6;NORTE;TO;UFT;PALMAS;CIÊNCIA E TECNOLOGIA DE ALIMENTOS
16003012013P2;NORTE;TO;UFT;PALMAS;EDUCAÇÃO
16003012014P9;NORTE;TO;UFT;PALMAS;INTERDISCIPLINAR
16003012015P5;NORTE;TO;UFT;PALMAS;INTERDISCIPLINAR
16003012016P1;NORTE;TO;UFT;GURUPI;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL
16003012017P8;NORTE;TO;UFT;PALMAS;PLANEJAMENTO URBANO E REGIONAL
16003012156P8;NORTE;TO;UFT;ARAGUAÍNA;MEDICINA VETERINÁRIA
16003012157P4;NORTE;TO;UFT;PALMAS;ENSINO
16003012158P0;NORTE;TO;UFT;ARAGUAÍNA;INTERDISCIPLINAR
16003012159P7;NORTE;TO;UFT;PALMAS;LETRAS
16003012161P1;NORTE;TO;UFT;PALMAS;COMUNICAÇÃO
20001010003P6;NORDESTE;MA;UFMA;SÃO LUÍS;SERVIÇO SOCIAL
20001010004P2;NORDESTE;MA;UFMA;SÃO LUÍS;QUÍMICA
20001010005P9;NORDESTE;MA;UFMA;SÃO LUÍS;ENGENHARIA ELÉTRICA
20001010006P5;NORDESTE;MA;UFMA;SÃO LUÍS;INTERDISCIPLINAR
20001010008P8;NORDESTE;MA;UFMA;SÃO LUÍS;EDUCAÇÃO
20001010009P4;NORDESTE;MA;UFMA;SÃO LUÍS;MEDICINA
20001010011P9;NORDESTE;MA;UFMA;SÃO LUÍS;SOCIOLOGIA
20001010012P5;NORDESTE;MA;UFMA;SÃO LUÍS;ZOOLOGIA
20001010013P1;NORDESTE;MA;UFMA;SÃO LUÍS;FÍSICA
20001010014P8;NORDESTE;MA;UFMA;SÃO LUÍS;MEDICINA
20001010015P4;NORDESTE;MA;UFMA;SÃO LUÍS;SAÚDE COLETIVA
20001010017P7;NORDESTE;MA;UFMA;SÃO LUÍS;ODONTOLOGIA
20001010019P0;NORDESTE;MA;UFMA;SÃO LUÍS;MATEMÁTICA
20001010020P8;NORDESTE;MA;UFMA;SÃO LUÍS;INTERDISCIPLINAR
20001010021P4;NORDESTE;MA;UFMA;SÃO LUÍS;ECONOMIA
20001010022P0;NORDESTE;MA;UFMA;SÃO LUÍS;CIÊNCIA DA COMPUTAÇÃO
20001010023P7;NORDESTE;MA;UFMA;SÃO LUÍS;INTERDISCIPLINAR
20001010024P3;NORDESTE;MA;UFMA;SÃO LUÍS;HISTÓRIA
20001010025P0;NORDESTE;MA;UFMA;SÃO LUÍS;ENFERMAGEM
20001010026P6;NORDESTE;MA;UFMA;CHAPADINHA;ZOOTECNIA
20001010027P2;NORDESTE;MA;UFMA;SÃO LUÍS;PSICOLOGIA
20001010028P9;NORDESTE;MA;UFMA;SÃO LUÍS;DESENHO INDUSTRIAL
20001010029P5;NORDESTE;MA;UFMA;SÃO LUÍS;DIREITO
20001010031P0;NORDESTE;MA;UFMA;IMPERATRIZ;MATERIAIS
20001010032P6;NORDESTE;MA;UFMA;SÃO LUÍS;LETRAS
20001010039P0;NORDESTE;MA;UFMA;SÃO LUÍS;ENSINO
20001010041P5;NORDESTE;MA;UFMA;SÃO LUÍS;EDUCAÇÃO
20001010042P1;NORDESTE;MA;UFMA;SÃO LUÍS;GEOCIÊNCIAS
20001010043P8;NORDESTE;MA;UFMA;SÃO LUÍS;EDUCAÇÃO FÍSICA
20002017001P0;NORDESTE;MA;UEMA;SÃO LUÍS;AGRONOMIA
20002017002P6;NORDESTE;MA;UEMA;SÃO LUÍS;MEDICINA VETERINÁRIA
20002017003P2;NORDESTE;MA;UEMA;SÃO LUÍS;PLANEJAMENTO URBANO E REGIONAL
20002017004P9;NORDESTE;MA;UEMA;SÃO LUÍS;CIÊNCIA DA COMPUTAÇÃO
20002017005P5;NORDESTE;MA;UEMA;SÃO LUÍS;MEDICINA VETERINÁRIA
20002017007P8;NORDESTE;MA;UEMA;SÃO LUÍS;CIÊNCIA POLÍTICA
20002017008P4;NORDESTE;MA;UEMA;SÃO LUÍS;HISTÓRIA
20002017009P0;NORDESTE;MA;UEMA;SÃO LUÍS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA
20002017010P9;NORDESTE;MA;UEMA;CAXIAS;INTERDISCIPLINAR
20002017039P7;NORDESTE;MA;UEMA;SÃO LUÍS;GEOGRAFIA
20002017040P5;NORDESTE;MA;UEMA;SÃO LUÍS;LETRAS
20003013001P6;NORDESTE;MA;IFMA/MC;SÃO LUÍS;ENGENHARIA DE MATERIAIS E METALÚRGICA
20003013002P2;NORDESTE;MA;IFMA/MC;SÃO LUÍS;QUÍMICA
20009011001P4;NORDESTE;MA;UNICEUMA;SÃO LUÍS;ODONTOLOGIA
