"";"CD_PROGRAMA_IES";"Count";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"Prof_Perm";"Soma_patentes";"Soma_produtos";"Soma_Aplicativos";"Forma_docente";"Forma_discente";"Colabora_cientifica";"CP";"Indice_MI";"Patente_prof";"Produto_prof";"App_prof";"Indice_PT";"new_indice_PT"
"630";"28001010055P1";630;3;0;2006;1;4;20;0;7;4;466666667;894736842;85;415625;656757127;0;35;2;183333333;526,55
"631";"28001010056P8";631;3;0;2006;0;4;18;0;0;0;703703704;50877193;608974359;522666667;586029165;0;0;0;0;585,055555555556
"632";"28001010058P0";632;3;0;2007;0;4;17;0;0;0;568627451;548387097;56;431790123;527201168;0;0;0;0;619,470588235294
"633";"28001010060P5";633;3;0;2007;0;3;14;0;1;4;595238095;396226415;525;55188172;517086558;0;71428571;285714286;119047619;752,214285714286
"634";"28001010062P8";634;3;0;2007;0;5;19;23;1;3;368421053;268722467;516226708;380416667;383446724;1;52631579;157894737;403508772;554,263157894737
"635";"28001010063P4";635;3;0;2007;0;3;8;0;0;1;458333333;604651163;751623377;454166667;567193635;0;0;125;41666667;1316,375
"636";"28001010067P0";636;3;0;2009;0;3;15;4;2;0;666666667;517241379;551679587;540873016;569115162;266666667;133333333;0;133333333;702,066666666667
"637";"28001010071P7";637;3;0;2009;1;5;18;11;0;4;444444444;7;722222222;435526316;575548246;611111111;0;222222222;277777778;585,055555555556
"638";"28001010072P3";638;3;0;2009;0;5;21;0;0;0;349206349;310344828;522916667;6875;467491961;0;0;0;0;501,47619047619
"639";"28001010073P0";639;3;0;2009;0;4;21;9;3;0;619047619;741935484;719047619;3625;61063268;428571429;142857143;0;19047619;501,47619047619
"640";"28001010075P2";640;3;0;2009;0;4;26;1;3;0;320512821;37037037;5276907;476666667;423810139;38461538;115384615;0;51282051;405,038461538462
"641";"28001010076P9";641;3;0;2010;0;3;15;1;0;0;8;611111111;553240741;444736842;602272173;66666667;0;0;22222222;702,066666666667
"642";"28001010077P5";642;3;0;2010;1;4;20;0;0;0;233333333;461538462;504505135;355555556;388733121;0;0;0;0;526,55
"643";"28001010078P1";643;3;0;2010;0;4;36;0;0;0;296296296;224;443181818;405487805;34224148;0;0;0;0;292,527777777778
"644";"28001010079P8";644;3;0;2010;0;5;34;0;2;0;274509804;237623762;409947589;400714286;33069886;0;58823529;0;19607843;309,735294117647
"645";"28001010080P6";645;3;0;2010;0;4;19;43;1;0;736842105;409090909;525373758;590740741;565511878;1;52631579;0;350877193;554,263157894737
"646";"28001010082P9";646;3;0;2011;1;3;20;0;0;1;566666667;516129032;714285714;455654762;563184044;0;0;5;16666667;526,55
"647";"28001010083P5";647;3;0;2011;0;3;15;0;0;0;622222222;618181818;564867424;498245614;57587927;0;0;0;0;702,066666666667
"648";"28001010084P1";648;3;0;2011;0;3;11;8;0;0;636363636;1;534883721;294642857;616472554;727272727;0;0;242424242;957,363636363636
"649";"28001010085P8";649;3;0;2011;1;3;22;2;0;3;696969697;438596491;518907563;467628205;530525489;90909091;0;136363636;75757576;478,681818181818
"650";"28001010088P7";650;3;0;2011;0;4;22;0;0;0;287878788;166666667;423172014;385897436;315903726;0;0;0;0;478,681818181818
"651";"28001010089P3";651;3;0;2012;0;3;14;7;2;0;714285714;782608696;590909091;528125;653982125;5;142857143;0;214285714;752,214285714286
"652";"28001010092P4";652;3;0;2013;1;3;16;0;0;0;395833333;423076923;43502331;571929825;456465848;0;0;0;0;658,1875
"653";"28001010093P0";653;3;0;2013;0;3;11;0;0;0;818181818;864864865;5625;47745098;680749416;0;0;0;0;957,363636363636
"654";"28001010094P7";654;3;0;2014;0;3;12;0;0;0;611111111;775;679166667;500757576;641508838;0;0;0;0;877,583333333333
"655";"28001010095P3";655;3;0;2014;0;4;29;3;2;10;333333333;189349112;582606904;356306306;365398914;103448276;68965517;344827586;172413793;363,137931034483
"656";"28001010170P5";656;3;0;2016;0;3;14;0;0;0;571428571;368421053;68125;470833333;522983239;0;0;0;0;752,214285714286
"657";"28001010171P1";657;3;0;2016;0;3;16;1;0;0;541666667;846153846;1;489035088;7192139;625;0;0;20833333;658,1875
"658";"28001010172P8";658;3;0;2016;0;4;16;0;0;0;583333333;421052632;546934866;391287879;485652177;0;0;0;0;658,1875
"659";"28002016003P4";659;2;0;2000;0;3;14;0;0;0;357142857;403225806;666666667;520098039;486783342;0;0;0;0;752,214285714286
"660";"28002016004P0";660;2;0;2003;0;4;18;0;0;0;5;5;499189815;422916667;48052662;0;0;0;0;585,055555555556
"661";"28002016005P7";661;2;0;2006;0;3;20;1;0;5;6;72972973;448863636;460869565;559865733;5;0;25;1;526,55
"662";"28002016006P3";662;2;0;2005;0;4;17;25;0;0;68627451;340909091;594047619;46984127;522768122;1;0;0;333333333;619,470588235294
"663";"28002016007P0";663;2;0;2006;0;3;15;0;0;0;666666667;925925926;583333333;498684211;668652534;0;0;0;0;702,066666666667
"664";"28002016009P2";664;2;0;2007;0;3;16;0;0;0;270833333;540540541;6375;49754902;486605723;0;0;0;0;658,1875
"665";"28002016011P7";665;2;0;2008;0;4;17;0;0;0;411764706;730769231;529868578;381578947;513495366;0;0;0;0;619,470588235294
"666";"28002016012P3";666;2;0;2010;0;3;13;0;0;0;384615385;392156863;53125;444791667;438203479;0;0;0;0;810,076923076923
"667";"28002016013P0";667;2;0;2012;1;3;20;0;1;0;183333333;209302326;486471861;458333333;334360213;0;5;0;16666667;526,55
"668";"28002016014P6";668;2;0;2011;1;3;23;1;1;0;347826087;361111111;462962963;440441176;403085334;43478261;43478261;0;28985507;457,869565217391
"669";"28002016015P2";669;2;0;2011;0;3;22;0;0;0;46969697;430769231;574074074;477;487885069;0;0;0;0;478,681818181818
"670";"28002016016P9";670;2;0;2013;1;3;14;0;0;1;619047619;464788732;557539683;568333333;552427342;0;0;71428571;23809524;752,214285714286
"671";"28002016018P1";671;2;0;2013;0;3;10;6;0;0;666666667;761904762;555555556;466025641;612538156;6;0;0;2;1053,1
"672";"28002016019P8";672;2;0;2013;0;3;18;0;0;1;537037037;583333333;666666667;386574074;543402778;0;0;55555556;18518519;585,055555555556
"673";"28003012002P4";673;4;1;2005;0;4;10;0;0;1;8;609756098;596031746;488461538;623562346;0;0;1;33333333;1053,1
"674";"28003012003P0";674;4;1;2006;0;4;12;0;0;0;722222222;342105263;625757576;427222222;529326821;0;0;0;0;877,583333333333
"675";"28003012004P7";675;4;1;2006;0;5;12;0;0;0;861111111;454545455;611164466;505392157;608053297;0;0;0;0;877,583333333333
"676";"28003012005P3";676;4;1;2007;1;3;9;0;0;0;888888889;543859649;733333333;508888889;66874269;0;0;0;0;1170,11111111111
"677";"28005015001P0";677;2;0;2001;0;4;30;0;7;17;477777778;33;46875;39527027;417949512;0;233333333;566666667;266666667;351,033333333333
"678";"28005015003P3";678;2;0;2006;0;3;17;0;0;0;37254902;482758621;916666667;420416667;548097743;0;0;0;0;619,470588235294
"679";"28005015004P0";679;2;0;2006;0;3;11;1;0;0;303030303;652173913;625;476923077;514281823;90909091;0;0;3030303;957,363636363636
"680";"28005015005P6";680;2;0;2006;0;3;14;0;0;0;523809524;763157895;527597403;481862745;574106892;0;0;0;0;752,214285714286
